"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1","res_2","dem_1_sim","res_1_sim","res_2_sim","dem_2_sim","dem_3_sim","cwb_scale"
5286,2,NA,NA,1,1,7,NA,1,9,1,NA,2644
5287,NA,1,NA,1,1,5,21,NA,11,1,2,NA
5288,2,1,1,NA,1,NA,NA,1,NA,NA,2,2645
5289,NA,1,NA,NA,2,NA,62,NA,9,1,2,NA
5290,NA,1,1,NA,NA,10,2,NA,8,NA,2,NA
5291,NA,NA,1,1,1,15,NA,2,14,3,2,NA
5292,1,1,NA,2,NA,NA,NA,2,12,NA,NA,2646.5
5293,NA,2,NA,NA,NA,9,NA,NA,6,NA,2,NA
5294,2,NA,NA,NA,NA,16,63,NA,NA,NA,2,2648
5295,NA,NA,NA,NA,NA,14,70,1,15,2,2,NA
5296,NA,NA,NA,2,NA,14,26,2,14,NA,NA,NA
5297,1,2,NA,2,NA,8,NA,1,14,1,1,2649
5298,NA,NA,NA,1,NA,5,0,3,15,1,NA,NA
5299,NA,2,NA,2,1,9,NA,NA,NA,NA,2,NA
5300,NA,1,1,NA,1,NA,1,2,14,1,2,NA
5301,1,1,1,NA,2,NA,NA,1,NA,2,NA,2651
5302,NA,NA,NA,NA,1,15,12,2,NA,NA,NA,NA
5303,2,NA,1,NA,2,2,33,NA,10,NA,NA,2652.5
5304,NA,1,NA,2,NA,12,38,NA,NA,NA,NA,NA
5305,1,NA,1,NA,1,NA,64,1,NA,1,2,2653
5306,NA,1,NA,NA,1,NA,NA,NA,NA,1,2,NA
5307,NA,1,NA,NA,1,8,NA,NA,NA,NA,NA,NA
5308,2,NA,NA,NA,NA,NA,NA,2,11,1,2,2655
5309,NA,2,NA,1,1,12,7,1,4,1,2,NA
5310,NA,NA,NA,1,2,9,44,3,10,1,2,NA
5311,NA,1,NA,NA,2,NA,78,3,7,NA,NA,NA
5312,2,1,1,NA,2,15,2,1,NA,1,2,2657
5313,NA,NA,1,NA,3,NA,37,1,10,1,NA,NA
5314,2,NA,NA,NA,NA,NA,42,NA,NA,NA,2,2658
5315,NA,1,NA,NA,2,11,37,1,3,1,NA,NA
5316,NA,1,NA,NA,NA,14,86,2,9,NA,NA,NA
5317,NA,NA,2,NA,3,NA,NA,NA,NA,NA,2,NA
5318,NA,NA,NA,NA,1,7,41,3,5,NA,NA,NA
5319,1,1,1,NA,1,6,35,2,NA,1,2,2660
5320,NA,NA,1,NA,NA,4,NA,NA,NA,NA,2,NA
5321,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA
5322,NA,1,NA,NA,2,NA,81,1,NA,1,NA,NA
5323,2,1,NA,NA,2,NA,NA,2,4,NA,NA,2662.5
5324,1,1,NA,NA,NA,7,86,1,7,NA,2,2662.5
5325,2,1,NA,NA,1,9,NA,2,NA,1,2,2663.5
5326,NA,1,1,NA,NA,NA,11,3,NA,3,NA,NA
5327,NA,1,1,NA,1,4,NA,NA,12,1,2,NA
5328,2,1,NA,2,2,13,18,2,NA,1,NA,2665
5329,NA,1,1,1,2,NA,20,NA,10,NA,2,NA
5330,NA,1,NA,NA,NA,NA,57,1,12,3,2,NA
5331,NA,1,2,NA,2,9,NA,NA,12,NA,2,NA
5332,NA,1,1,1,NA,NA,62,NA,NA,1,2,NA
5333,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,NA
5334,NA,1,NA,NA,3,NA,NA,2,NA,1,2,NA
5335,NA,1,NA,2,2,6,56,NA,14,2,2,NA
5336,2,NA,1,1,1,9,12,2,4,1,2,2669
5337,NA,1,1,NA,2,NA,88,NA,NA,NA,2,NA
5338,2,NA,1,2,1,14,64,NA,15,NA,1,2670
5339,NA,1,1,1,2,NA,86,NA,16,1,2,NA
5340,NA,1,NA,NA,2,NA,8,2,2,NA,2,NA
5341,2,NA,NA,NA,1,7,NA,2,NA,1,2,2671.5
5342,NA,NA,1,NA,1,NA,75,NA,16,NA,NA,NA
5343,1,1,NA,1,2,8,33,NA,10,NA,2,2672
5344,NA,2,NA,NA,2,3,NA,NA,NA,NA,2,NA
5345,2,1,NA,NA,2,4,NA,1,15,2,NA,2673.5
5346,2,2,NA,NA,1,10,NA,3,10,4,2,2674
5347,NA,2,NA,NA,2,NA,NA,2,9,1,NA,NA
5348,NA,NA,NA,NA,2,7,NA,3,9,NA,2,NA
5349,1,2,NA,NA,NA,NA,68,NA,5,1,NA,2675
5350,NA,1,NA,NA,1,NA,29,2,6,NA,NA,NA
5351,NA,NA,NA,2,1,9,82,NA,NA,NA,NA,NA
5352,2,NA,NA,NA,NA,14,NA,2,3,NA,2,2677
5353,NA,1,NA,NA,2,16,NA,2,NA,2,2,NA
5354,NA,1,NA,2,2,NA,29,NA,2,1,2,NA
5355,NA,1,NA,NA,1,NA,33,1,13,NA,2,NA
5356,NA,1,NA,1,2,NA,NA,3,15,1,2,NA
5357,NA,NA,NA,1,1,12,48,NA,11,1,2,NA
5358,NA,1,NA,2,1,NA,0,3,1,1,2,NA
5359,NA,NA,NA,NA,NA,9,NA,NA,12,1,NA,NA
5360,1,NA,NA,1,2,5,2,1,2,1,2,2680.5
5361,NA,1,1,NA,NA,NA,42,3,NA,1,2,NA
5362,2,1,2,2,1,NA,62,3,13,NA,NA,2682
5363,NA,NA,NA,NA,NA,4,15,NA,8,1,NA,NA
5364,NA,1,1,NA,2,3,12,1,NA,1,NA,NA
5365,NA,1,NA,2,1,2,85,NA,16,NA,2,NA
5366,NA,1,1,NA,NA,15,27,NA,3,4,2,NA
5367,NA,1,NA,NA,2,NA,NA,1,7,NA,2,NA
5368,NA,1,NA,NA,2,7,32,NA,NA,1,NA,NA
5369,NA,1,NA,NA,NA,6,NA,NA,NA,NA,2,NA
5370,NA,1,NA,NA,1,5,85,1,1,1,2,NA
5371,NA,1,NA,2,3,NA,3,NA,9,1,NA,NA
5372,2,1,NA,NA,3,NA,39,2,2,2,2,2687
5373,NA,NA,NA,NA,NA,3,12,NA,NA,1,NA,NA
5374,2,1,NA,1,NA,8,NA,2,2,3,NA,2688
5375,NA,1,NA,NA,1,NA,NA,NA,6,NA,2,NA
5376,NA,1,1,NA,NA,NA,34,1,3,NA,NA,NA
5377,NA,1,1,NA,NA,NA,1,NA,14,1,2,NA
5378,NA,NA,1,NA,2,16,64,NA,NA,NA,2,NA
5379,2,1,NA,2,2,16,NA,3,15,1,NA,2690.5
5380,NA,1,NA,NA,NA,NA,9,2,NA,NA,NA,NA
5381,2,1,1,NA,NA,NA,NA,2,11,1,2,2691.5
5382,2,NA,NA,1,NA,5,54,3,3,NA,2,2692
5383,NA,1,1,NA,NA,NA,NA,NA,10,1,NA,NA
5384,2,1,NA,NA,NA,NA,51,2,14,1,2,2693
5385,NA,1,NA,2,NA,10,NA,1,13,NA,2,NA
5386,NA,1,NA,NA,NA,NA,NA,1,13,1,NA,NA
5387,1,NA,NA,2,NA,2,11,NA,10,1,1,2694
5388,2,1,NA,2,NA,4,15,2,10,3,NA,2695
5389,1,NA,NA,2,2,11,65,NA,NA,1,2,2695
5390,2,NA,1,2,3,4,44,NA,NA,NA,2,2696
5391,2,1,2,NA,NA,8,71,3,NA,1,2,2696.5
5392,NA,1,1,NA,2,NA,41,2,NA,1,2,NA
5393,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA
5394,1,NA,1,NA,NA,NA,22,NA,1,1,NA,2697.5
5395,NA,NA,NA,NA,NA,9,14,NA,16,3,NA,NA
5396,NA,1,NA,NA,NA,NA,52,NA,NA,NA,2,NA
5397,NA,NA,1,NA,NA,NA,NA,NA,7,1,2,NA
5398,NA,2,1,NA,2,8,65,1,15,NA,NA,NA
5399,NA,NA,NA,NA,NA,NA,NA,3,16,1,NA,NA
5400,NA,1,NA,NA,3,3,NA,2,7,1,2,NA
5401,2,NA,NA,2,2,NA,31,1,16,1,2,2701.5
5402,NA,1,NA,NA,2,7,46,3,3,NA,2,NA
5403,2,1,1,NA,2,NA,64,NA,4,4,2,2702.5
5404,1,1,NA,NA,1,NA,13,1,NA,NA,NA,2702.5
5405,NA,1,1,2,2,NA,NA,NA,16,NA,NA,NA
5406,NA,1,NA,NA,2,11,NA,NA,NA,NA,2,NA
5407,2,1,NA,2,NA,7,16,2,12,NA,1,2704.5
5408,NA,1,NA,NA,NA,3,81,2,15,NA,2,NA
5409,NA,1,NA,NA,NA,7,80,3,6,2,NA,NA
5410,2,NA,NA,NA,2,6,90,2,12,1,2,2706
5411,NA,1,1,1,1,NA,NA,NA,NA,NA,2,NA
5412,1,1,NA,NA,2,1,NA,NA,3,4,2,2706.5
5413,NA,1,NA,NA,2,NA,18,2,7,1,2,NA
5414,1,NA,NA,2,NA,NA,NA,3,NA,3,NA,2707.5
5415,NA,NA,1,NA,2,NA,NA,3,4,1,NA,NA
5416,NA,1,NA,1,2,13,NA,NA,5,NA,2,NA
5417,1,NA,1,NA,NA,NA,NA,3,9,NA,2,2709
5418,NA,NA,NA,2,NA,NA,38,NA,4,1,2,NA
5419,1,NA,1,NA,1,NA,NA,NA,NA,3,1,2710
5420,NA,1,NA,2,1,6,NA,NA,2,NA,NA,NA
5421,NA,NA,NA,2,2,NA,79,NA,NA,4,NA,NA
5422,NA,NA,1,1,2,5,NA,1,8,1,NA,NA
5423,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,NA
5424,NA,1,1,NA,2,14,15,NA,8,NA,NA,NA
5425,NA,1,1,2,NA,16,12,NA,3,1,NA,NA
5426,2,NA,1,2,1,NA,73,1,NA,NA,NA,2714
5427,2,1,1,1,2,NA,NA,3,3,NA,NA,2714.5
5428,NA,NA,1,NA,3,4,55,NA,5,NA,2,NA
5429,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2715
5430,NA,1,NA,NA,3,NA,NA,2,15,1,2,NA
5431,2,1,NA,2,NA,NA,81,1,NA,1,2,2716.5
5432,NA,1,NA,NA,NA,15,73,NA,5,NA,2,NA
5433,2,1,NA,2,2,NA,68,NA,16,1,2,2717.5
5434,NA,NA,1,NA,NA,NA,23,1,NA,NA,2,NA
5435,NA,1,1,NA,NA,NA,NA,NA,NA,2,2,NA
5436,NA,NA,1,NA,2,NA,87,NA,7,3,2,NA
5437,NA,NA,1,NA,NA,NA,NA,1,3,4,NA,NA
5438,NA,NA,1,NA,2,NA,NA,NA,8,1,NA,NA
5439,NA,NA,NA,NA,2,NA,56,2,NA,1,2,NA
5440,2,1,1,NA,NA,3,18,2,8,NA,2,2721
5441,NA,NA,NA,NA,2,13,3,3,NA,2,2,NA
5442,NA,1,NA,NA,2,12,48,1,2,NA,2,NA
5443,NA,1,NA,1,3,NA,16,NA,1,2,1,NA
5444,NA,1,NA,NA,2,12,71,NA,5,NA,NA,NA
5445,NA,NA,1,NA,1,1,7,NA,7,1,NA,NA
5446,NA,1,NA,1,NA,13,NA,1,3,1,NA,NA
5447,NA,NA,NA,NA,3,NA,67,NA,14,1,2,NA
5448,NA,2,1,NA,NA,NA,NA,NA,NA,1,2,NA
5449,NA,2,1,1,NA,NA,NA,1,5,1,2,NA
5450,NA,NA,NA,2,NA,14,17,2,5,1,2,NA
5451,2,NA,NA,NA,NA,9,NA,NA,12,1,2,2726.5
5452,NA,1,NA,NA,NA,11,61,NA,NA,1,2,NA
5453,2,NA,NA,2,1,NA,64,1,NA,1,2,2727.5
5454,NA,NA,NA,NA,NA,NA,NA,2,6,NA,2,NA
5455,1,2,NA,NA,2,3,21,1,6,NA,NA,2728
5456,NA,2,1,NA,1,12,NA,2,7,1,2,NA
5457,NA,1,NA,NA,2,NA,59,3,12,1,2,NA
5458,NA,1,NA,NA,NA,10,67,2,5,1,NA,NA
5459,NA,NA,NA,1,2,NA,80,2,NA,1,2,NA
5460,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2,NA
5461,NA,1,NA,1,2,5,21,1,NA,1,NA,NA
5462,NA,1,NA,1,2,9,NA,NA,5,1,NA,NA
5463,2,1,1,NA,2,7,1,NA,15,NA,2,2732.5
5464,NA,1,1,NA,NA,NA,NA,2,7,1,NA,NA
5465,NA,1,NA,NA,1,NA,NA,3,NA,1,2,NA
5466,NA,1,NA,NA,NA,2,16,1,NA,1,NA,NA
5467,NA,1,NA,NA,2,6,45,NA,NA,1,2,NA
5468,2,1,2,NA,NA,NA,NA,2,NA,1,NA,2735
5469,NA,1,NA,NA,2,NA,NA,1,NA,1,2,NA
5470,NA,1,1,NA,NA,1,NA,3,9,1,2,NA
5471,2,NA,NA,NA,2,NA,NA,1,4,1,2,2736.5
5472,NA,1,1,NA,NA,NA,37,NA,NA,1,2,NA
5473,NA,1,NA,1,3,15,73,1,1,1,NA,NA
5474,2,1,NA,1,3,NA,NA,2,NA,2,2,2738
5475,2,1,NA,NA,2,2,NA,1,NA,1,2,2738.5
5476,NA,1,1,NA,NA,4,NA,NA,7,NA,2,NA
5477,NA,1,NA,2,2,9,7,NA,15,3,2,NA
5478,2,NA,NA,1,NA,NA,NA,NA,1,NA,2,2740
5479,NA,NA,1,NA,NA,NA,70,3,14,3,NA,NA
5480,2,1,NA,2,NA,7,17,NA,15,1,2,2741
5481,NA,1,NA,NA,2,NA,57,2,NA,NA,1,NA
5482,NA,1,1,NA,2,NA,68,NA,7,1,1,NA
5483,NA,NA,1,NA,2,NA,0,2,5,NA,NA,NA
5484,2,1,1,NA,NA,3,NA,NA,16,4,2,2743
5485,2,1,NA,NA,NA,9,11,2,5,1,2,2743.5
5486,NA,1,NA,1,2,NA,NA,NA,NA,1,2,NA
5487,2,1,1,NA,3,NA,NA,2,11,NA,2,2744.5
5488,NA,1,NA,NA,NA,NA,64,2,NA,NA,2,NA
5489,2,NA,NA,1,3,7,NA,2,NA,4,2,2745.5
5490,NA,NA,NA,1,NA,5,NA,2,4,NA,2,NA
5491,2,1,1,NA,NA,9,NA,NA,NA,NA,NA,2746.5
5492,NA,NA,NA,NA,1,1,NA,1,15,NA,NA,NA
5493,NA,2,1,NA,NA,7,NA,NA,NA,1,2,NA
5494,NA,1,1,NA,NA,9,NA,2,7,1,NA,NA
5495,NA,1,NA,NA,1,6,23,2,7,NA,NA,NA
5496,NA,1,NA,2,3,9,NA,1,NA,1,2,NA
5497,NA,1,1,NA,3,NA,88,NA,7,1,NA,NA
5498,NA,1,1,NA,NA,NA,NA,3,4,1,NA,NA
5499,NA,1,1,2,3,NA,NA,2,11,NA,2,NA
5500,2,1,1,NA,3,NA,69,2,5,NA,2,2751
5501,2,1,NA,NA,2,6,NA,2,NA,3,2,2751.5
5502,NA,1,1,NA,NA,5,NA,NA,NA,3,NA,NA
5503,NA,NA,NA,1,NA,11,NA,2,NA,NA,NA,NA
5504,2,1,NA,NA,2,2,NA,3,1,1,2,2753
5505,NA,NA,NA,NA,2,14,NA,NA,12,NA,2,NA
5506,2,1,1,1,3,10,0,NA,14,1,NA,2754
5507,NA,2,1,NA,3,14,54,NA,9,2,NA,NA
5508,2,1,NA,NA,2,14,10,3,NA,NA,NA,2755
5509,2,NA,NA,NA,3,12,NA,NA,NA,1,2,2755.5
5510,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
5511,NA,1,NA,2,3,10,NA,1,NA,1,2,NA
5512,NA,NA,NA,NA,1,3,9,NA,10,1,2,NA
5513,1,1,1,NA,NA,NA,12,NA,7,1,2,2757
5514,2,1,NA,NA,3,NA,34,1,8,NA,NA,2758
5515,NA,NA,NA,NA,1,15,4,1,13,1,2,NA
5516,NA,1,1,NA,1,16,31,1,16,1,2,NA
5517,2,NA,1,NA,3,NA,NA,NA,2,1,NA,2759.5
5518,NA,NA,NA,2,2,7,80,1,NA,1,2,NA
5519,2,NA,NA,NA,2,NA,NA,NA,7,NA,2,2760.5
5520,NA,1,1,NA,2,NA,65,NA,13,3,NA,NA
5521,NA,1,1,NA,2,4,49,2,9,1,2,NA
5522,2,2,NA,2,NA,NA,70,2,NA,NA,2,2762
5523,NA,NA,NA,NA,2,6,67,1,16,NA,2,NA
5524,NA,NA,NA,NA,NA,7,37,1,14,2,2,NA
5525,NA,2,NA,1,2,NA,NA,1,NA,3,2,NA
5526,NA,1,NA,NA,NA,10,42,2,1,1,2,NA
5527,NA,NA,1,NA,1,NA,73,3,9,1,2,NA
5528,2,NA,NA,2,3,6,53,NA,5,NA,NA,2765
5529,NA,1,NA,1,NA,8,68,NA,NA,1,2,NA
5530,NA,NA,1,NA,2,NA,NA,NA,4,1,2,NA
5531,NA,NA,NA,NA,3,NA,NA,2,7,1,NA,NA
5532,NA,1,NA,NA,2,1,NA,3,12,1,NA,NA
5533,1,1,1,2,2,4,47,1,6,NA,NA,2767
5534,NA,1,NA,NA,3,11,9,NA,NA,NA,NA,NA
5535,NA,1,NA,NA,NA,NA,78,1,15,NA,2,NA
5536,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA
5537,1,1,NA,2,1,1,12,NA,NA,1,2,2769
5538,2,NA,NA,NA,1,NA,NA,2,10,NA,2,2770
5539,NA,2,NA,NA,NA,12,31,NA,5,NA,NA,NA
5540,NA,1,1,NA,NA,7,NA,1,11,NA,2,NA
5541,NA,NA,1,NA,NA,NA,37,NA,8,NA,NA,NA
5542,NA,NA,NA,NA,2,8,63,NA,1,1,2,NA
5543,NA,NA,NA,NA,2,4,NA,3,NA,1,2,NA
5544,NA,NA,NA,1,NA,4,NA,NA,NA,NA,2,NA
5545,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA
5546,2,NA,NA,1,NA,3,45,3,5,NA,NA,2774
5547,NA,1,NA,2,NA,2,23,2,10,3,NA,NA
5548,2,NA,1,2,NA,2,1,2,7,1,2,2775
5549,NA,2,NA,1,NA,10,37,NA,9,1,NA,NA
5550,NA,NA,NA,2,3,NA,55,3,NA,1,NA,NA
5551,2,NA,1,NA,NA,NA,47,2,2,1,2,2776.5
5552,2,NA,1,NA,NA,NA,44,2,NA,1,NA,2777
5553,NA,NA,NA,NA,NA,NA,NA,2,4,1,NA,NA
5554,NA,1,1,NA,NA,10,7,NA,13,1,2,NA
5555,NA,1,NA,NA,1,15,56,2,5,3,NA,NA
5556,NA,1,NA,NA,NA,11,11,NA,8,NA,NA,NA
5557,NA,NA,NA,NA,2,NA,13,2,4,1,2,NA
5558,1,1,NA,NA,3,NA,NA,NA,NA,NA,2,2779.5
5559,NA,NA,NA,2,NA,NA,30,1,14,1,2,NA
5560,2,1,NA,NA,NA,13,22,3,4,1,2,2781
5561,2,NA,NA,2,1,NA,69,NA,NA,4,NA,2781.5
5562,NA,NA,1,1,1,8,85,2,NA,NA,NA,NA
5563,NA,1,1,NA,NA,7,NA,NA,12,NA,2,NA
5564,NA,NA,1,NA,2,NA,65,NA,NA,NA,NA,NA
5565,NA,1,1,NA,NA,NA,NA,2,9,1,NA,NA
5566,NA,NA,NA,2,1,5,70,NA,NA,1,2,NA
5567,NA,2,NA,NA,NA,7,26,2,5,NA,2,NA
5568,1,NA,NA,1,2,10,88,2,5,2,2,2784.5
5569,NA,1,NA,NA,2,10,NA,2,16,NA,2,NA
5570,2,NA,NA,NA,2,3,NA,2,12,1,2,2786
5571,NA,NA,1,2,2,2,NA,1,2,1,NA,NA
5572,1,1,1,NA,1,10,57,2,12,NA,NA,2786.5
5573,2,1,1,1,2,4,58,NA,13,1,2,2787.5
5574,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA
5575,NA,NA,1,NA,2,9,NA,NA,6,1,2,NA
5576,2,1,1,NA,NA,11,NA,NA,5,3,2,2789
5577,NA,1,NA,NA,NA,11,60,NA,13,NA,2,NA
5578,NA,NA,1,NA,1,2,NA,3,NA,NA,2,NA
5579,NA,NA,2,NA,3,15,8,NA,8,1,2,NA
5580,2,1,NA,2,3,NA,NA,2,NA,1,2,2791
5581,NA,1,NA,2,NA,NA,41,3,1,1,2,NA
5582,2,NA,NA,2,NA,12,70,NA,NA,1,NA,2792
5583,NA,1,NA,2,2,NA,NA,2,8,NA,2,NA
5584,NA,NA,NA,1,2,6,NA,NA,16,NA,2,NA
5585,1,1,2,1,2,NA,58,1,13,NA,2,2793
5586,NA,1,1,NA,1,NA,NA,3,6,1,NA,NA
5587,NA,NA,NA,NA,2,14,63,NA,7,NA,NA,NA
5588,2,1,NA,2,NA,15,NA,2,11,2,2,2795
5589,NA,1,NA,2,3,2,49,3,13,1,2,NA
5590,NA,NA,NA,NA,3,15,NA,2,NA,NA,2,NA
5591,1,NA,1,1,2,10,49,NA,8,1,2,2796
5592,NA,NA,NA,NA,1,NA,NA,3,2,1,2,NA
5593,NA,1,NA,NA,1,3,NA,1,NA,1,2,NA
5594,NA,1,1,NA,2,NA,79,2,10,3,NA,NA
5595,2,1,1,NA,2,2,NA,2,NA,3,2,2798.5
5596,NA,NA,NA,NA,NA,9,15,2,1,NA,NA,NA
5597,NA,1,NA,NA,3,NA,27,2,13,NA,1,NA
5598,NA,1,NA,NA,NA,NA,84,NA,11,1,2,NA
5599,NA,NA,1,NA,2,16,NA,2,NA,3,2,NA
5600,2,1,1,NA,2,10,NA,3,NA,1,NA,2801
5601,NA,1,1,NA,3,NA,NA,1,9,1,2,NA
5602,NA,NA,NA,1,2,14,1,1,2,1,2,NA
5603,NA,1,NA,NA,2,5,57,NA,4,NA,2,NA
5604,2,1,1,2,1,2,18,1,10,1,NA,2803
5605,NA,NA,NA,2,3,15,47,1,2,3,NA,NA
5606,NA,NA,NA,NA,NA,11,NA,1,12,1,NA,NA
5607,NA,1,NA,NA,1,NA,NA,1,8,NA,NA,NA
5608,NA,2,1,NA,NA,NA,4,NA,13,1,NA,NA
5609,NA,NA,NA,NA,NA,4,59,1,9,3,2,NA
5610,NA,1,NA,NA,2,16,47,2,11,NA,2,NA
5611,2,NA,1,NA,NA,14,25,2,NA,2,2,2806.5
5612,NA,1,NA,NA,NA,NA,76,2,2,NA,NA,NA
5613,1,1,NA,NA,2,NA,75,2,2,3,NA,2807
5614,NA,1,NA,2,2,14,NA,NA,6,NA,NA,NA
5615,NA,1,NA,NA,NA,NA,16,NA,11,2,2,NA
5616,2,1,NA,NA,NA,10,9,NA,7,1,2,2809
5617,NA,1,2,NA,NA,12,NA,1,NA,1,2,NA
5618,NA,1,NA,2,2,NA,86,2,12,NA,2,NA
5619,NA,1,NA,NA,NA,NA,NA,2,NA,1,2,NA
5620,1,1,NA,1,1,NA,NA,1,NA,NA,2,2810.5
5621,NA,1,1,NA,NA,5,16,NA,NA,1,NA,NA
5622,2,1,NA,NA,3,1,87,2,NA,3,2,2812
5623,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA
5624,NA,NA,NA,1,3,NA,NA,NA,12,1,2,NA
5625,NA,1,NA,NA,3,15,NA,2,16,1,2,NA
5626,NA,1,NA,NA,NA,1,7,NA,16,NA,NA,NA
5627,NA,NA,NA,2,1,NA,NA,1,12,NA,2,NA
5628,1,1,1,NA,NA,3,NA,NA,NA,1,2,2814.5
5629,2,1,1,NA,NA,NA,NA,2,NA,1,2,2815.5
5630,NA,1,NA,2,1,15,43,2,NA,2,2,NA
5631,NA,1,NA,NA,NA,10,NA,2,4,NA,NA,NA
5632,NA,NA,NA,NA,1,2,NA,1,7,NA,2,NA
5633,2,NA,NA,NA,NA,9,15,1,4,1,NA,2817.5
5634,2,1,NA,NA,NA,14,68,NA,NA,2,NA,2818
5635,NA,1,NA,NA,2,1,NA,2,5,NA,2,NA
5636,NA,2,NA,NA,1,NA,NA,2,11,1,NA,NA
5637,NA,NA,NA,2,NA,15,NA,1,NA,NA,2,NA
5638,2,1,1,NA,2,NA,2,NA,14,NA,NA,2820
5639,NA,1,NA,1,NA,16,83,2,NA,4,2,NA
5640,1,NA,NA,NA,NA,NA,45,3,NA,1,2,2820.5
5641,NA,NA,NA,2,1,4,86,2,NA,NA,2,NA
5642,NA,1,1,NA,NA,15,55,2,10,1,2,NA
5643,NA,1,1,NA,2,NA,72,2,3,1,2,NA
5644,2,1,1,NA,2,1,36,2,2,4,1,2823
5645,NA,NA,NA,NA,2,NA,62,3,1,NA,2,NA
5646,NA,NA,NA,NA,2,3,2,2,NA,NA,2,NA
5647,NA,1,NA,2,NA,NA,44,3,NA,1,NA,NA
5648,NA,NA,NA,NA,NA,10,NA,2,6,1,NA,NA
5649,NA,NA,NA,NA,3,7,NA,2,NA,1,2,NA
5650,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
5651,NA,1,NA,NA,3,4,NA,NA,7,1,NA,NA
5652,NA,1,NA,2,NA,7,53,NA,NA,1,NA,NA
5653,NA,NA,NA,NA,3,NA,23,NA,3,4,2,NA
5654,NA,NA,NA,NA,2,11,NA,NA,16,NA,2,NA
5655,1,1,1,1,NA,NA,21,2,NA,2,2,2828
5656,NA,1,NA,2,2,9,NA,2,NA,1,NA,NA
5657,NA,1,NA,1,1,2,6,NA,16,1,2,NA
5658,1,NA,1,1,2,6,21,1,7,NA,NA,2829.5
5659,NA,1,NA,NA,1,12,NA,NA,7,1,2,NA
5660,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
5661,NA,1,NA,NA,3,6,NA,1,6,NA,2,NA
5662,NA,NA,1,NA,2,NA,NA,3,2,NA,NA,NA
5663,NA,2,NA,NA,NA,7,NA,2,6,1,2,NA
5664,2,1,NA,1,NA,13,2,NA,8,NA,2,2833
5665,NA,NA,NA,1,2,3,NA,2,NA,1,2,NA
5666,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
5667,NA,1,NA,NA,NA,NA,82,NA,6,NA,2,NA
5668,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA
5669,1,NA,NA,NA,NA,9,NA,2,NA,NA,2,2835
5670,NA,2,1,NA,NA,NA,44,3,NA,1,2,NA
5671,NA,2,NA,NA,2,9,11,1,NA,1,2,NA
5672,2,NA,NA,2,3,3,NA,2,2,1,2,2837
5673,NA,NA,1,NA,2,1,59,2,8,NA,2,NA
5674,NA,NA,NA,2,NA,NA,78,NA,16,NA,2,NA
5675,NA,NA,NA,2,2,6,NA,3,NA,NA,NA,NA
5676,NA,1,1,NA,NA,NA,NA,NA,NA,1,2,NA
5677,2,1,1,NA,2,NA,76,1,8,3,NA,2839.5
5678,NA,1,1,NA,2,6,84,NA,3,4,2,NA
5679,NA,1,1,NA,1,NA,1,3,NA,1,NA,NA
5680,NA,NA,1,NA,NA,16,53,1,NA,1,2,NA
5681,NA,NA,NA,NA,NA,10,49,2,2,1,NA,NA
5682,2,NA,NA,NA,2,1,33,NA,NA,1,2,2842
5683,NA,1,NA,2,1,3,30,NA,7,NA,2,NA
5684,NA,NA,NA,1,3,13,NA,2,2,NA,2,NA
5685,NA,1,NA,2,NA,6,NA,2,9,NA,NA,NA
5686,2,1,NA,NA,NA,1,NA,1,2,2,2,2844
5687,1,NA,1,2,2,12,NA,1,NA,NA,NA,2844
5688,NA,1,NA,NA,3,3,NA,1,1,NA,NA,NA
5689,2,NA,NA,2,NA,5,5,2,15,NA,2,2845.5
5690,2,1,NA,NA,1,9,42,NA,NA,1,NA,2846
5691,NA,NA,2,2,NA,NA,9,3,11,1,2,NA
5692,NA,1,NA,NA,NA,14,71,NA,NA,NA,NA,NA
5693,NA,NA,NA,2,1,15,NA,1,NA,2,NA,NA
5694,NA,1,1,NA,1,NA,24,2,8,1,2,NA
5695,NA,1,NA,2,2,NA,64,1,NA,1,2,NA
5696,NA,NA,NA,NA,3,NA,53,2,5,NA,2,NA
5697,NA,NA,NA,1,3,NA,NA,3,14,NA,NA,NA
5698,1,1,NA,1,2,1,NA,2,7,NA,2,2849.5
5699,NA,NA,1,2,2,NA,NA,2,NA,1,2,NA
5700,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,2850.5
5701,NA,1,NA,2,2,16,NA,1,1,1,2,NA
